[2024-06-13 13:06:23.781]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-13 13:06:23.806]	 Updating all plugins!
[2024-06-13 13:06:23.806]	 
[2024-06-13 13:06:24.868]	   "vim-tmux-navigator" update success
[2024-06-13 13:06:24.873]	     | Already up to date.
[2024-06-13 13:06:24.913]	   "tmux-resurrect" update success
[2024-06-13 13:06:24.915]	     | Already up to date.
[2024-06-13 13:06:24.935]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-13 13:06:24.992]	 Done.

[2024-06-13 13:07:10.133]	 List of discovered tpm plugins: 
[2024-06-13 13:07:10.151]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-13 13:07:10.189]	 Already installed "vim-tmux-navigator"
[2024-06-13 13:07:10.190]	 Already installed "tmux-resurrect"
[2024-06-13 13:07:10.213]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-13 13:07:10.238]	 Updating all plugins!
[2024-06-13 13:07:10.238]	 
[2024-06-13 13:07:11.260]	   "vim-tmux-navigator" update success
[2024-06-13 13:07:11.263]	     | Already up to date.
[2024-06-13 13:07:11.290]	   "tmux-resurrect" update success
[2024-06-13 13:07:11.293]	     | Already up to date.
[2024-06-13 13:07:11.312]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-13 13:07:11.371]	 Done.

[2024-06-13 13:09:41.914]	 List of discovered tpm plugins: 
[2024-06-13 13:09:41.931]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-13 13:09:41.974]	 Already installed "vim-tmux-navigator"
[2024-06-13 13:09:41.974]	 Already installed "tmux-resurrect"
[2024-06-13 13:09:41.995]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-13 13:09:42.022]	 Updating all plugins!
[2024-06-13 13:09:42.022]	 
[2024-06-13 13:09:43.135]	   "vim-tmux-navigator" update success
[2024-06-13 13:09:43.137]	     | Already up to date.
[2024-06-13 13:09:43.171]	   "tmux-resurrect" update success
[2024-06-13 13:09:43.173]	     | Already up to date.
[2024-06-13 13:09:43.192]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-13 13:09:43.247]	 Done.

[2024-06-13 13:11:56.531]	 List of discovered tpm plugins: 
[2024-06-13 13:11:56.549]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-13 13:11:56.593]	 Already installed "vim-tmux-navigator"
[2024-06-13 13:11:56.594]	 Already installed "tmux-resurrect"
[2024-06-13 13:11:56.612]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-13 13:11:56.633]	 Updating all plugins!
[2024-06-13 13:11:56.633]	 
[2024-06-13 13:11:57.701]	   "tmux-resurrect" update success
[2024-06-13 13:11:57.704]	     | Already up to date.
[2024-06-13 13:11:57.722]	   "vim-tmux-navigator" update success
[2024-06-13 13:11:57.724]	     | Already up to date.
[2024-06-13 13:11:57.745]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-13 13:11:57.802]	 Done.

[2024-06-13 13:15:52.145]	 List of discovered tpm plugins: 
[2024-06-13 13:15:52.189]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-13 13:15:52.337]	 Already installed "tmux-resurrect"
[2024-06-13 13:15:52.355]	 Already installed "vim-tmux-navigator"
[2024-06-13 13:15:52.441]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-13 13:15:52.553]	 Updating all plugins!
[2024-06-13 13:15:52.553]	 
[2024-06-13 13:15:54.567]	   "vim-tmux-navigator" update success
[2024-06-13 13:15:54.579]	     | Already up to date.
[2024-06-13 13:15:54.605]	   "tmux-resurrect" update success
[2024-06-13 13:15:54.610]	     | Already up to date.
[2024-06-13 13:15:54.643]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-13 13:15:54.790]	 Done.

[2024-06-14 16:39:13.365]	 List of discovered tpm plugins: 
[2024-06-14 16:39:13.386]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-14 16:39:13.453]	 Already installed "vim-tmux-navigator"
[2024-06-14 16:39:13.456]	 Already installed "tmux-resurrect"
[2024-06-14 16:39:13.476]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-14 16:39:13.501]	 Updating all plugins!
[2024-06-14 16:39:13.502]	 
[2024-06-14 16:39:15.215]	   "vim-tmux-navigator" update success
[2024-06-14 16:39:15.225]	     | Already up to date.
[2024-06-14 16:39:15.458]	   "tmux-resurrect" update success
[2024-06-14 16:39:15.495]	     | Already up to date.
[2024-06-14 16:39:15.620]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
